n,C-D
39000,40342
39000,85555
39000,16553
39000,101316
39000,122936
40000,284756
40000,153277
40000,110720
40000,42931
40000,103976
40000,147967
40000,96435
40000,86024
40000,144205
40000,93186
40000,104881
40000,130817
40000,92399
40000,68687
40000,165938
40000,73240
40000,128376
40000,31067
40000,55784
40000,98381
40000,101151
40000,50967
40000,209050
40000,70500
40000,62443
40000,232381
40000,155054
40000,58632
40000,152302
40000,107175
40000,148951
40000,94023
40000,104285
40000,140014
40000,66307
40000,133473
40000,91549
40000,105055
40000,120799
40000,248743
40000,74155
40000,99415
40000,109185
40000,123905
40000,96486
40000,145394
40000,195939
40000,63387
40000,34356
40000,165607
41000,55514
41000,94788
41000,124967
41000,96447
41000,122924
41000,35376
41000,100523
41000,19973
41000,46439
41000,80673
41000,133263
41000,73802
41000,110998
41000,95455
41000,167587
41000,110822
41000,76334
41000,121232
41000,66890
41000,67856
41000,7412
41000,227454
41000,181419
41000,46454
41000,105132
41000,34222
41000,94406
41000,75595
41000,189441
41000,107876
41000,8222
41000,122962
41000,7430
41000,175560
41000,95201
41000,29672
41000,61279
41000,153791
41000,13950
41000,117414
41000,131885
41000,73567
41000,78982
41000,156878
41000,103299
41000,167674
41000,137566
41000,113454
41000,18002
41000,179111
42000,169024
42000,39438
42000,108931
42000,177804
42000,174813
42000,110278
42000,323224
42000,70910
42000,119032
42000,66783
42000,72735
42000,55660
42000,36131
42000,59420
42000,171550
42000,93153
42000,94777
42000,206267
42000,57549
42000,173983
42000,137562
42000,129397
42000,123682
42000,99175
42000,153511
42000,94589
42000,179364
42000,117846
42000,141668
42000,81123
42000,103092
42000,105720
42000,48530
42000,144885
42000,62467
42000,80024
42000,126941
42000,154084
42000,190334
42000,10733
42000,184346
42000,130492
42000,94852
42000,86534
42000,82127
42000,186349
42000,122620
42000,85993
42000,48503
42000,156113
43000,90639
43000,59639
43000,207181
43000,333130
43000,285082
43000,177081
43000,140202
43000,25373
43000,33444
43000,114323
43000,208877
43000,107502
43000,9263
43000,78949
43000,85125
43000,120715
43000,107383
43000,62467
43000,107979
43000,134621
43000,3076
43000,47668
43000,151109
43000,145289
43000,120090
43000,130391
43000,58768
43000,87899
43000,90559
43000,111710
43000,71066
43000,125845
43000,71744
43000,89186
43000,101143
43000,60312
43000,133400
43000,42505
43000,133494
43000,122056
43000,13894
43000,26599
43000,108793
43000,37363
43000,175933
43000,41799
43000,43635
43000,93847
43000,103292
43000,106491
44000,125955
44000,110571
44000,61308
44000,126577
44000,136816
44000,179822
44000,30134
44000,47598
44000,144706
44000,107988
44000,128551
44000,244824
44000,129018
44000,71955
44000,135333
44000,61771
44000,289230
44000,222840
44000,58215
44000,88646
44000,12900
44000,100942
44000,56949
44000,161747
44000,252808
44000,189910
44000,109169
44000,48224
44000,165800
44000,189289
44000,204351
44000,220809
44000,96196
44000,235992
44000,76737
44000,195403
44000,111806
44000,94601
44000,154680
44000,195716
44000,152177
44000,149684
44000,114508
44000,77546
44000,104983
44000,67384
44000,41117
44000,141938
44000,41338
44000,134215
45000,38695
45000,179707
45000,39323
45000,97133
45000,82867
45000,131599
45000,50820
45000,73592
45000,158101
45000,46055
45000,108708
45000,167959
45000,48438
45000,68646
45000,49931
45000,157164
45000,62253
45000,67317
45000,52387
45000,71766
45000,129777
45000,97379
45000,61974
45000,127846
45000,129683
45000,119037
45000,138783
45000,152694
45000,58275
45000,21277
45000,159843
45000,185498
45000,75076
45000,90436
45000,303637
45000,147322
45000,51444
45000,286166
45000,75301
45000,267285
45000,104440
45000,121168
45000,144365
45000,54116
45000,77254
45000,342679
45000,17838
45000,77856
45000,147430
45000,212859
46000,88384
46000,164595
46000,99070
46000,59859
46000,280790
46000,62594
46000,180358
46000,38326
46000,102027
46000,136709
46000,109027
46000,133803
46000,63163
46000,146035
46000,36238
46000,18287
46000,121080
46000,40249
46000,156232
46000,76434
46000,118182
46000,190284
46000,191409
46000,123956
46000,170454
46000,58836
46000,42678
46000,175022
46000,131593
46000,56460
46000,8875
46000,241306
46000,4695
46000,30637
46000,8706
46000,20231
46000,156079
46000,96630
46000,140539
46000,126847
46000,118710
46000,87478
46000,141803
46000,38498
46000,94110
46000,119978
46000,37383
46000,108662
46000,159522
46000,59513
47000,163339
47000,153499
47000,95417
47000,219771
47000,137470
47000,227292
47000,117672
47000,66622
47000,55325
47000,53451
47000,24043
47000,141439
47000,179746
47000,63735
47000,303913
47000,212127
47000,32255
47000,69874
47000,60263
47000,67143
47000,21911
47000,140860
47000,132385
47000,80046
47000,3379
47000,116633
47000,21100
47000,98696
